Implement,Test ID,EUDI class,Credimi ready,CAW,MI,MV,MTSL,WU,CDV,Visual evidence,FCAF area,EUDI profile,SUT,Mock/tools raw,Notes,Other fields,Source check
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_CredentialMetadata_CredentialStructure_007.md"",""WS_RP_DM_CredentialMetadata_CredentialStructure007"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_generic,"WS, RP-PI, PID-DM","CDV, 🔎, WU, 📸",validators: dcql.response_satisfies_constraints; preconditions: pipeline.dcql.credential-sets; manual Maestro pipeline template: fcaf-wallet-solution-relying-party-dcql-credential-sets,🟠 req-class: EUDI_required; credimi: PR1295 catalog; path: tests,source: FCAF repo; credimi-id differs: WS_RP_DM_CredentialMetadata_CredentialStructure_007
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_CredentialMetadata_CredentialStructure_008.md"",""WS_RP_DM_CredentialMetadata_CredentialStructure008"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_generic,"WS, RP-PI, PID-DM","CDV, 🔎, WU, 📸",validators: dcql.response_satisfies_constraints; preconditions: pipeline.dcql.credentials-match; manual Maestro pipeline template: fcaf-wallet-solution-relying-party-dcql-credentials-match,🟠 req-class: EUDI_required; credimi: PR1295 catalog; path: tests,source: FCAF repo; credimi-id differs: WS_RP_DM_CredentialMetadata_CredentialStructure_008
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_CredentialMetadata_CredentialStructure_009.md"",""WS_RP_DM_CredentialMetadata_CredentialStructure009"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_generic,"WS, RP-PI, PID-DM","CDV, 🔎, WU, 📸",validators: dcql.response_satisfies_constraints; preconditions: pipeline.dcql.no-matching-credentials; manual Maestro pipeline template: fcaf-wallet-solution-relying-party-dcql-no-matching-credentials,🟠 req-class: EUDI_required; credimi: PR1295 catalog; path: tests,source: FCAF repo; credimi-id differs: WS_RP_DM_CredentialMetadata_CredentialStructure_009
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_CredentialMetadata_CredentialStructure_010.md"",""WS_RP_DM_CredentialMetadata_CredentialStructure010"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_generic,"WS, RP-PI, PID-DM","CDV, 🔎, WU, 📸",validators: dcql.response_satisfies_constraints; preconditions: pipeline.dcql.claim-sets; manual Maestro pipeline template: fcaf-wallet-solution-relying-party-dcql-claim-sets,🟠 req-class: EUDI_required; credimi: PR1295 catalog; path: tests,source: FCAF repo; credimi-id differs: WS_RP_DM_CredentialMetadata_CredentialStructure_010
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Domestic_PID_IETF-sd-jwt-vc_001.md"",""WS_RP_DM_Credentialmetadata_Domestic_PID_IETF-sd-jwt-vc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.domestic_namespace; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Domestic_PID_IETF-sd-jwt-vc_002.md"",""WS_RP_DM_Credentialmetadata_Domestic_PID_IETF-sd-jwt-vc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.domestic_namespace; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_Credentialmetadata_Domestic_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Domestic_PID_ISO-mdoc_001.md"",""WS_RP_DM_Credentialmetadata_Domestic_PID_ISO-mdoc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.domestic_namespace; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Domestic_PID_ISO-mdoc_002.md"",""WS_RP_DM_Credentialmetadata_Domestic_PID_ISO-mdoc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, ISO mdoc","CDV, 🔎, WU, 📸","validators: mdoc.domestic_namespace; preconditions: pipeline.pid.presentation.mdoc.all-claims-elements, assertion.pid.presentation.mdoc.doc-type-pid, assertion.pid.presentation.mdoc.required-mandatory-elements-presented, test.WS_RP_DM_Credentialmetadata_Domestic_PID_ISO-mdoc_001; precondition validators: pid.mdoc_doc_type, pid.mdoc_required_mandatory_elements_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: iso_mdoc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_001.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_001"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_present; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
,"=HYPERLINK(""https://github.com/eu-digital-identity-wallet/eudi-doc-functional-conformance-assessment/blob/88ab69a/docs/fcaf/suts/wallet_solution/relying_party/DataModel/CredentialMetadata/WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_002.md"",""WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_002"")",EUDI_required,🟢 ready,,,x,,x,x,x,DataModel / CredentialMetadata,EUDI_specific,"WS, RP-PI, PID-DM, SD-JWT VC","CDV, 🔎, WU, 📸","validators: sdjwt.claim_utf8_string; preconditions: pipeline.pid.presentation.sdjwt.all-claims, assertion.pid.presentation.sdjwt.vct-pid, assertion.pid.presentation.sdjwt.required-mandatory-claims-presented, test.WS_RP_DM_Credentialmetadata_Expirydate_PID_IETF-sd-jwt-vc_001; precondition validators: pid.sdjwt_vct_pid, pid.sdjwt_required_mandatory_claims_present",🟠 req-class: EUDI_required; credimi: PR1295 catalog; format: ietf_sd_jwt_vc,source: FCAF repo; credimi-id matches source
